kaltmiete_listing,overpriced,floor,furnished,num_photos,total_floors,building_age_years,listing_date,wg_typ,year_built,priority_score,num_rooms,plz,balcony,days_online,living_area_m2,stadtteil,living_area_text,energieausweis,dist_uni_km,contact_type,heating_type,kitchen,dist_uni_min,elevator,clicks_last_week,listing_id,nebenkosten_eur
304 warm,False,4. OG,unmöbliert,7,3,18,14.02.2026,Frauen-WG,2008,1,3.0,93059,nein,81,16.7,Reinhausen,"16,7 qm",B,3.7,Makler,Pellet,keine,15,ja,245,INS-2026-88922,56
414,True,4. OG,unmöbliert,19,7,123,18.04.2026,gemischt,1903,3,1.0,93053,ja,80,17.8,Galgenberg,"17,8 qm",G,1.7,Privat,Fernwärme,Pantry,7,nein,93,INS-2026-73501,150
"320,00 EUR",True,EG,teilmöbliert,18,1,92,19.03.2026,Studenten-WG,1934,3,2.0,93055,nein,76,21.0,Burgweinting,21 m²,F,2.4,Makler,Zentralheizung,Pantry,11,nein,98,INS-2026-60231,83
317 €,True,1. OG,möbliert,14,6,52,21.01.2026,Studenten-WG,1974,4,2.0,93053,ja,50,13.5,Kasernenviertel,13.5 m2,C,10.1,Makler,Zentralheizung,Pantry,41,nein,237,INS-2026-25738,98
"648,00 EUR",True,1. OG,möbliert,15,7,104,22.04.2026,gemischt,1922,5,2.0,93047,ja,24,22.1,Innenstadt,"22,1 qm",E,10.6,Privat,Zentralheizung,Pantry,42,nein,128,INS-2026-64187,162
316,True,4. OG,möbliert,5,4,76,19.03.2026,gemischt,1950,4,1.5,93053,nein,59,15.2,Galgenberg,15 m²,F,7.5,Makler,Fernwärme,Einbauküche,30,ja,280,INS-2026-77464,128
210,False,1. OG,unmöbliert,12,3,57,12.05.2026,gemischt,1969,10,2.0,93051,nein,4,15.6,Königswiesen,"15,6 qm",F,9.1,Makler,Gasetagenheizung,Einbauküche,37,ja,42,INS-2026-42317,110
604 kalt,False,1. OG,unmöbliert,18,4,85,02.05.2026,Frauen-WG,1941,9,2.0,93051,ja,83,34.0,Kumpfmühl,"34,0 qm",B,9.8,Privat,Fernwärme,keine,39,nein,206,INS-2026-42831,93
309,False,1. OG,teilmöbliert,10,1,50,18.01.2026,gemischt,1976,3,3.0,93051,ja,46,23.4,Ziegetsdorf,23 m²,G,4.7,Genossenschaft,Zentralheizung,Einbauküche,19,nein,138,INS-2026-85550,178
246 €,False,EG,unmöbliert,10,3,47,15.03.2026,gemischt,1979,7,1.0,93051,nein,30,22.7,Ziegetsdorf,"22,7 qm",G,10.7,Privat,Nachtspeicher,keine,43,ja,122,INS-2026-94749,108
334 kalt,False,3. OG,unmöbliert,2,3,78,20.02.2026,Berufstätigen-WG,1948,2,3.0,93051,nein,5,26.6,Königswiesen,26.6 m2,E,8.0,Privat,Nachtspeicher,Pantry,32,ja,31,INS-2026-17634,112
567 €,False,1. OG,unmöbliert,4,4,112,22.01.2026,Männer-WG,1914,8,2.0,93047,ja,22,24.6,Innenstadt,"24,6 qm",E,9.5,Privat,Öl,Einbauküche,38,ja,110,INS-2026-60054,102
262,False,2. OG,unmöbliert,23,5,26,22.06.2026,Berufstätigen-WG,2000,1,3.0,93055,nein,87,19.3,Burgweinting,19.3 m2,A,4.6,Privat,Gasetagenheizung,Einbauküche,18,nein,155,INS-2026-81818,123
362 warm,False,2. OG,unmöbliert,9,6,26,08.01.2026,gemischt,2000,3,1.5,93053,ja,13,13.9,Galgenberg,"13,9 qm",D,11.1,Makler,Öl,Einbauküche,44,ja,181,INS-2026-40139,100
463,True,Souterrain,möbliert,15,4,9,11.06.2026,gemischt,2017,3,3.0,93051,ja,24,21.9,Kumpfmühl,22 m²,C,5.0,Privat,Öl,Einbauküche,20,ja,9,INS-2026-40074,134
336,False,EG,teilmöbliert,8,4,109,17.02.2026,Studenten-WG,1917,1,2.0,93051,ja,25,28.0,Dechbetten,"28,0 qm",C,9.8,Makler,Nachtspeicher,Pantry,38,ja,24,INS-2026-73174,73
432 €,False,2. OG,unmöbliert,6,4,63,17.01.2026,gemischt,1963,4,2.0,93051,ja,44,22.9,Kumpfmühl,"22,9 qm",D,2.5,Makler,Zentralheizung,Pantry,10,nein,89,INS-2026-79166,58
"220,00 EUR",False,Souterrain,unmöbliert,11,6,122,29.04.2026,gemischt,1904,7,2.0,93053,nein,13,12.4,Galgenberg,"12,4 qm",F,8.4,Privat,Zentralheizung,Einbauküche,33,nein,18,INS-2026-94468,153
"454,00 EUR",True,4. OG,möbliert,10,5,76,12.03.2026,Studenten-WG,1950,2,1.0,93049,nein,14,20.1,Westenviertel,20.1 m2,A,7.2,Makler,Zentralheizung,Einbauküche,29,ja,130,INS-2026-48229,98
162,False,EG,teilmöbliert,25,1,12,14.01.2026,Studenten-WG,2014,2,3.0,93049,ja,20,11.8,Großprüfening,11.8 m2,A,10.5,Privat,Fernwärme,Einbauküche,42,ja,275,INS-2026-53775,76
453,True,2. OG,unmöbliert,19,5,35,29.06.2026,Frauen-WG,1991,10,1.0,93051,ja,21,22.4,Kumpfmühl,"22,4 qm",C,8.1,Privat,Öl,Einbauküche,33,nein,245,INS-2026-89371,125
420 warm,False,EG,unmöbliert,4,1,71,15.04.2026,Berufstätigen-WG,1955,6,2.5,93055,nein,86,26.3,Ostenviertel,26.3 m2,E,4.9,Genossenschaft,Gasetagenheizung,Einbauküche,19,ja,22,INS-2026-20237,63
504 warm,True,EG,teilmöbliert,3,3,2,03.05.2026,gemischt,2024,9,2.0,93055,nein,65,20.8,Burgweinting,21 m²,G,4.5,Makler,Fernwärme,Pantry,18,ja,202,INS-2026-88818,163
"238,00 EUR",False,3. OG,unmöbliert,8,2,68,31.03.2026,Studenten-WG,1958,3,2.0,93051,ja,5,17.8,Ziegetsdorf,18 m²,B,4.6,Makler,Zentralheizung,Einbauküche,19,nein,299,INS-2026-67244,117
364 warm,True,2. OG,teilmöbliert,12,5,77,09.04.2026,Studenten-WG,1949,2,1.0,93049,nein,14,17.8,Karthaus-Prüll,"17,8 qm",C,9.8,Genossenschaft,Gasetagenheizung,Einbauküche,39,nein,98,INS-2026-42444,50
425,False,4. OG,unmöbliert,13,2,101,16.03.2026,Berufstätigen-WG,1925,10,2.0,93053,nein,21,22.0,Kasernenviertel,22.0 m2,E,9.3,Privat,Gasetagenheizung,Einbauküche,36,nein,123,INS-2026-95167,70
219 €,False,DG,teilmöbliert,24,2,91,04.05.2026,Berufstätigen-WG,1935,10,2.0,93053,ja,22,12.2,Kasernenviertel,12.2 m2,A,6.0,Privat,Gasetagenheizung,keine,24,nein,251,INS-2026-19691,73
223 €,True,2. OG,unmöbliert,14,5,25,31.01.2026,Studenten-WG,2001,2,2.0,93051,nein,34,11.5,Kumpfmühl,"11,5 qm",D,1.4,Makler,Zentralheizung,Einbauküche,6,nein,140,INS-2026-67807,68
359 €,True,EG,teilmöbliert,14,7,8,09.06.2026,Frauen-WG,2018,1,2.0,93051,nein,40,23.1,Ziegetsdorf,"23,1 qm",D,5.0,Privat,Fernwärme,Einbauküche,19,ja,153,INS-2026-70756,150
Kaltmiete: 214 €,False,DG,unmöbliert,3,7,101,11.03.2026,Berufstätigen-WG,1925,1,3.0,93049,nein,64,20.0,Großprüfening,"20,0 qm",C,6.9,Privat,Gasetagenheizung,Pantry,27,nein,198,INS-2026-49662,116
549 warm,False,DG,möbliert,17,1,126,25.05.2026,Studenten-WG,1900,9,2.0,93047,ja,1,19.8,Innenstadt,"19,8 qm",B,10.0,Makler,Nachtspeicher,Einbauküche,40,nein,275,INS-2026-43286,116
292,False,DG,unmöbliert,15,3,17,28.04.2026,Frauen-WG,2009,2,1.5,93053,nein,64,18.3,Galgenberg,"18,3 qm",E,9.9,Privat,Öl,Einbauküche,40,nein,248,INS-2026-74753,142
Kaltmiete: 331 €,True,EG,möbliert,16,3,21,17.04.2026,gemischt,2005,4,2.0,93053,ja,41,14.7,Galgenberg,"14,7 qm",A,5.0,Genossenschaft,Pellet,Pantry,20,ja,235,INS-2026-90964,99
"237,00 EUR",False,3. OG,unmöbliert,4,5,102,15.04.2026,Studenten-WG,1924,6,2.0,93055,nein,18,14.8,Ostenviertel,15 m²,A+,9.6,Privat,Zentralheizung,Einbauküche,38,nein,279,INS-2026-38309,49
305,False,EG,unmöbliert,25,5,119,25.01.2026,Berufstätigen-WG,1907,3,2.5,93051,nein,55,22.3,Königswiesen,22 m²,F,10.0,Privat,Zentralheizung,keine,39,ja,57,INS-2026-55567,144
503 €,True,2. OG,teilmöbliert,11,4,122,31.01.2026,Studenten-WG,1904,6,2.0,93049,ja,30,24.6,Karthaus-Prüll,24.6 m2,C,1.1,Makler,Nachtspeicher,Einbauküche,5,nein,177,INS-2026-51272,65
"271,00 EUR",False,Souterrain,möbliert,23,1,18,06.05.2026,gemischt,2008,1,3.0,93051,ja,39,21.2,Dechbetten,21 m²,A,7.0,Privat,Gasetagenheizung,Einbauküche,28,ja,235,INS-2026-41643,91
Kaltmiete: 400 €,False,EG,teilmöbliert,19,4,77,22.03.2026,gemischt,1949,2,3.0,93053,nein,60,19.7,Galgenberg,20 m²,C,1.7,Privat,Nachtspeicher,Einbauküche,6,nein,259,INS-2026-46101,55
364 warm,False,Souterrain,unmöbliert,24,4,51,04.02.2026,Berufstätigen-WG,1975,4,2.0,93049,ja,20,18.7,Karthaus-Prüll,19 m²,E,10.6,Genossenschaft,Öl,Einbauküche,42,nein,160,INS-2026-14321,125
"342,00 EUR",True,EG,möbliert,2,7,61,15.02.2026,Studenten-WG,1965,4,2.0,93055,nein,67,19.7,Ostenviertel,20 m²,A+,4.2,Privat,Fernwärme,Einbauküche,17,ja,264,INS-2026-72966,73
459,True,2. OG,möbliert,15,3,26,21.05.2026,Berufstätigen-WG,2000,7,1.5,93051,ja,22,22.3,Königswiesen,"22,3 qm",B,7.5,Makler,Nachtspeicher,Pantry,29,ja,194,INS-2026-63737,78
Kaltmiete: 142 €,False,DG,teilmöbliert,5,4,72,22.06.2026,Männer-WG,1954,2,1.5,93055,nein,16,12.9,Burgweinting,13 m²,G,4.8,Privat,Gasetagenheizung,keine,19,nein,135,INS-2026-75500,78
222 €,False,2. OG,unmöbliert,3,1,33,13.03.2026,Studenten-WG,1993,1,2.0,93051,nein,58,14.9,Kumpfmühl,"14,9 qm",A,6.0,Genossenschaft,Nachtspeicher,keine,25,nein,203,INS-2026-63674,62
30,True,1. OG,unmöbliert,17,1,101,05.01.2026,Berufstätigen-WG,1925,9,2.0,93055,nein,11,20.2,Burgweinting,20 m²,C,6.7,Makler,Pellet,keine,27,nein,217,INS-2026-34596,70
"462,00 EUR",True,3. OG,möbliert,10,1,63,02.02.2026,Berufstätigen-WG,1963,1,1.0,93049,ja,26,23.4,Großprüfening,"23,4 qm",D,7.7,Privat,Fernwärme,Einbauküche,30,ja,113,INS-2026-32844,97
487 warm,False,3. OG,unmöbliert,24,4,48,06.02.2026,gemischt,1978,2,1.0,93049,ja,42,24.2,Großprüfening,"24,2 qm",D,7.4,Privat,Gasetagenheizung,Einbauküche,29,ja,212,INS-2026-70583,139
"518,00 EUR",True,EG,unmöbliert,15,5,22,12.04.2026,Studenten-WG,2004,6,1.0,93047,ja,74,20.3,Innenstadt,20.3 m2,G,2.2,Privat,Zentralheizung,keine,9,ja,12,INS-2026-87206,97
"334,00 EUR",False,1. OG,möbliert,14,7,113,10.01.2026,gemischt,1913,3,3.0,93053,nein,20,17.7,Kasernenviertel,"17,7 qm",E,8.7,Privat,Öl,Pantry,36,ja,19,INS-2026-79694,129
331 €,False,2. OG,unmöbliert,23,6,98,10.06.2026,gemischt,1928,10,2.5,93059,nein,62,15.3,Stadtamhof,"15,3 qm",E,1.2,Makler,Zentralheizung,keine,5,nein,149,INS-2026-54611,163
"133,00 EUR",False,3. OG,unmöbliert,19,1,41,28.01.2026,Frauen-WG,1985,6,3.0,93051,nein,6,15.0,Ziegetsdorf,15 m²,G,7.6,Privat,Nachtspeicher,keine,31,ja,208,INS-2026-90116,145
767 warm,False,1. OG,unmöbliert,23,6,42,17.04.2026,Frauen-WG,1984,8,2.5,93053,nein,43,30.4,Kasernenviertel,30 m²,H,2.5,Makler,Zentralheizung,Einbauküche,10,nein,191,INS-2026-32737,175
318 €,False,1. OG,teilmöbliert,23,2,57,07.02.2026,Studenten-WG,1969,3,2.5,93049,nein,25,20.4,Westenviertel,20.4 m2,B,6.3,Makler,Zentralheizung,Pantry,25,nein,169,INS-2026-28543,112
567 warm,True,2. OG,möbliert,19,2,29,08.02.2026,Studenten-WG,1997,6,2.0,93053,ja,9,19.2,Kasernenviertel,19.2 m2,C,6.0,Makler,Fernwärme,keine,23,ja,180,INS-2026-86093,107
"439,00 EUR",True,DG,teilmöbliert,7,6,64,05.04.2026,gemischt,1962,4,1.0,93055,nein,63,26.7,Ostenviertel,"26,7 qm",E,6.9,Makler,Zentralheizung,keine,26,ja,56,INS-2026-67017,66
349 €,True,2. OG,unmöbliert,21,6,35,16.06.2026,gemischt,1991,8,2.0,93051,ja,2,20.3,Königswiesen,20 m²,A+,4.4,Genossenschaft,Öl,Einbauküche,18,nein,8,INS-2026-66539,101
352 €,False,2. OG,unmöbliert,21,5,68,22.04.2026,gemischt,1958,1,1.0,93055,nein,76,25.0,Ostenviertel,25 m²,B,7.2,Makler,Öl,Einbauküche,29,ja,103,INS-2026-95372,88
489 warm,True,2. OG,teilmöbliert,20,3,60,15.02.2026,Frauen-WG,1966,2,1.5,93051,ja,47,21.1,Kumpfmühl,"21,1 qm",E,3.4,Makler,Fernwärme,Einbauküche,13,nein,239,INS-2026-94312,62
"340,00 EUR",True,2. OG,teilmöbliert,2,4,115,24.06.2026,gemischt,1911,7,1.5,93051,nein,89,16.0,Königswiesen,16 m²,G,2.7,Genossenschaft,Zentralheizung,Pantry,10,ja,229,INS-2026-39718,81
447,True,1. OG,unmöbliert,8,4,112,22.04.2026,Studenten-WG,1914,6,2.0,93051,ja,53,22.1,Kumpfmühl,"22,1 qm",D,1.5,Privat,Öl,Einbauküche,6,ja,103,INS-2026-87842,113
297 €,True,EG,möbliert,14,6,91,15.02.2026,gemischt,1935,7,1.0,93059,ja,47,16.4,Reinhausen,16.4 m2,E,6.1,Privat,Gasetagenheizung,Einbauküche,23,nein,24,INS-2026-93971,144
"367,00 EUR",False,Souterrain,unmöbliert,17,3,74,16.03.2026,gemischt,1952,5,3.0,93051,ja,23,27.9,Kumpfmühl,27.9 m2,C,9.4,Privat,Zentralheizung,Einbauküche,37,nein,235,INS-2026-64921,123
419,True,1. OG,möbliert,2,3,45,09.02.2026,gemischt,1981,1,2.0,93059,ja,12,15.7,Stadtamhof,16 m²,D,8.9,Makler,Fernwärme,Einbauküche,35,nein,141,INS-2026-73588,97
865 €,True,2. OG,möbliert,15,7,26,16.04.2026,Studenten-WG,2000,10,1.0,93053,nein,57,31.0,Galgenberg,31.0 m2,B,2.9,Privat,Gasetagenheizung,Einbauküche,11,nein,107,INS-2026-64574,66
378,True,1. OG,unmöbliert,23,3,90,17.02.2026,Frauen-WG,1936,1,1.0,93059,nein,75,18.3,Reinhausen,"18,3 qm",B,2.7,Makler,Gasetagenheizung,Einbauküche,11,nein,116,INS-2026-69410,74
Kaltmiete: 581 €,True,1. OG,unmöbliert,13,2,112,28.03.2026,Studenten-WG,1914,5,2.0,93047,ja,57,21.7,Innenstadt,21.7 m2,A,5.7,Makler,Fernwärme,Einbauküche,24,ja,7,INS-2026-83396,87
259 €,True,2. OG,möbliert,12,6,21,08.05.2026,gemischt,2005,2,3.0,93055,ja,62,13.7,Ostenviertel,14 m²,D,11.1,Privat,Pellet,Einbauküche,44,ja,21,INS-2026-94437,148
472 warm,True,1. OG,unmöbliert,7,5,106,01.06.2026,Berufstätigen-WG,1920,7,2.0,93051,nein,78,19.3,Königswiesen,"19,3 qm",F,5.7,Privat,Gasetagenheizung,Einbauküche,23,nein,230,INS-2026-54269,123
"422,00 EUR",True,2. OG,möbliert,24,6,35,10.03.2026,gemischt,1991,1,2.0,93047,ja,47,15.6,Innenstadt,15.6 m2,H,9.5,Privat,Öl,Pantry,38,nein,265,INS-2026-20652,187
195,False,1. OG,teilmöbliert,3,1,23,15.01.2026,gemischt,2003,4,3.0,93051,nein,12,13.3,Kumpfmühl,13 m²,E,9.5,Privat,Nachtspeicher,Pantry,38,nein,242,INS-2026-17662,118
343,False,3. OG,unmöbliert,12,4,28,12.01.2026,Berufstätigen-WG,1998,1,2.0,93047,nein,75,16.0,Innenstadt,"16,0 qm",B,7.9,Privat,Gasetagenheizung,Pantry,32,nein,173,INS-2026-23805,77
397 kalt,True,2. OG,unmöbliert,5,7,14,19.03.2026,Berufstätigen-WG,2012,10,1.0,93053,nein,20,18.2,Galgenberg,"18,2 qm",E,5.8,Makler,Pellet,Pantry,24,nein,204,INS-2026-51615,150
280 €,True,1. OG,möbliert,14,3,105,01.02.2026,Frauen-WG,1921,7,3.0,93055,nein,28,13.4,Ostenviertel,13 m²,D,2.2,Privat,Zentralheizung,Pantry,9,nein,117,INS-2026-90465,141
315 €,False,2. OG,unmöbliert,22,6,2,15.02.2026,Studenten-WG,2024,4,3.0,93049,nein,37,18.6,Westenviertel,"18,6 qm",C,8.9,Privat,Zentralheizung,Einbauküche,36,ja,266,INS-2026-81804,119
287 €,False,DG,unmöbliert,14,1,73,24.02.2026,gemischt,1953,7,1.0,93051,nein,82,22.4,Königswiesen,"22,4 qm",D,6.9,Privat,Zentralheizung,Einbauküche,27,nein,187,INS-2026-14281,99
"500,00 EUR",False,EG,unmöbliert,10,3,92,24.05.2026,gemischt,1934,5,1.5,93053,ja,12,25.2,Galgenberg,25 m²,E,6.7,Makler,Pellet,Pantry,28,ja,226,INS-2026-88633,144
488 warm,False,2. OG,teilmöbliert,15,7,71,07.06.2026,gemischt,1955,5,2.0,93055,nein,8,22.3,Ostenviertel,"22,3 qm",D,7.2,Privat,Zentralheizung,Pantry,29,nein,116,INS-2026-40165,161
401 warm,True,4. OG,möbliert,23,6,24,07.06.2026,Frauen-WG,2002,6,1.0,93055,nein,18,21.5,Burgweinting,21.5 m2,B,3.8,Genossenschaft,Öl,Pantry,15,nein,278,INS-2026-72300,72
290 kalt,True,1. OG,unmöbliert,12,4,17,04.05.2026,gemischt,2009,5,1.5,93051,ja,14,16.1,Ziegetsdorf,16 m²,B,1.5,Genossenschaft,Fernwärme,Pantry,6,nein,122,INS-2026-63855,84
390 warm,True,2. OG,teilmöbliert,5,5,25,21.04.2026,Studenten-WG,2001,3,2.5,93059,nein,18,12.8,Stadtamhof,12.8 m2,A+,7.8,Makler,Fernwärme,Pantry,31,nein,31,INS-2026-26987,92
451 €,True,EG,möbliert,7,3,26,29.03.2026,Frauen-WG,2000,4,2.5,93051,ja,61,21.6,Kumpfmühl,"21,6 qm",E,8.4,Privat,Fernwärme,Pantry,33,ja,208,INS-2026-90797,111
480,True,1. OG,unmöbliert,17,6,30,23.05.2026,Studenten-WG,1996,8,1.0,93051,ja,75,21.1,Kumpfmühl,"21,1 qm",E,3.6,Privat,Zentralheizung,Pantry,14,nein,131,INS-2026-92419,127
330,True,EG,teilmöbliert,5,5,42,04.06.2026,gemischt,1984,10,2.0,93051,ja,30,16.8,Kumpfmühl,16.8 m2,C,2.1,Privat,Öl,Pantry,8,nein,31,INS-2026-58068,138
309 kalt,False,EG,unmöbliert,13,1,84,14.03.2026,Studenten-WG,1942,8,2.0,93051,ja,38,19.5,Königswiesen,19.5 m2,B,4.8,Genossenschaft,Öl,Einbauküche,19,nein,243,INS-2026-16402,98
557 warm,True,EG,möbliert,4,2,43,02.01.2026,gemischt,1983,10,1.5,93055,nein,29,20.1,Ostenviertel,20.1 m2,H,6.4,Privat,Zentralheizung,Einbauküche,26,nein,95,INS-2026-34031,199
354 warm,False,2. OG,unmöbliert,25,1,71,18.01.2026,Studenten-WG,1955,9,2.0,93051,ja,87,16.5,Königswiesen,16.5 m2,B,7.2,Makler,Öl,Pantry,29,nein,169,INS-2026-94800,124
429 warm,False,2. OG,unmöbliert,12,2,81,16.05.2026,gemischt,1945,10,3.0,93053,nein,14,16.0,Kasernenviertel,16.0 m2,E,6.7,Privat,Gasetagenheizung,Pantry,27,ja,44,INS-2026-28168,164
332,False,1. OG,unmöbliert,9,7,87,11.02.2026,gemischt,1939,10,1.0,93053,nein,11,16.9,Kasernenviertel,16.9 m2,G,8.7,Makler,Gasetagenheizung,Einbauküche,34,nein,88,INS-2026-97078,166
431 €,False,EG,unmöbliert,6,3,44,14.03.2026,Studenten-WG,1982,3,2.5,93047,nein,5,18.9,Innenstadt,19 m²,D,2.4,Privat,Fernwärme,Pantry,10,nein,221,INS-2026-76154,82
373 €,True,3. OG,unmöbliert,5,7,16,12.02.2026,gemischt,2010,2,1.5,93051,ja,38,23.9,Dechbetten,23.9 m2,D,8.1,Genossenschaft,Zentralheizung,Einbauküche,32,ja,171,INS-2026-72691,78
379 warm,True,2. OG,teilmöbliert,13,5,98,29.04.2026,Berufstätigen-WG,1928,2,1.5,93051,nein,6,14.6,Dechbetten,"14,6 qm",F,5.0,Genossenschaft,Öl,Einbauküche,21,nein,79,INS-2026-21663,147
297 warm,True,3. OG,unmöbliert,2,2,98,04.02.2026,Studenten-WG,1928,1,1.0,93055,ja,52,14.3,Ostenviertel,14.3 m2,B,6.1,Privat,Nachtspeicher,Pantry,25,ja,51,INS-2026-28280,46
"267,00 EUR",True,2. OG,unmöbliert,15,2,101,31.05.2026,gemischt,1925,5,2.0,93055,ja,73,15.7,Ostenviertel,15.7 m2,C,7.0,Privat,Gasetagenheizung,Pantry,28,ja,0,INS-2026-58389,145
301 kalt,False,EG,möbliert,22,2,78,23.05.2026,Studenten-WG,1948,6,3.0,93059,ja,84,20.0,Reinhausen,20.0 m2,E,7.6,Privat,Fernwärme,keine,31,ja,215,INS-2026-73490,98
712 warm,True,Souterrain,unmöbliert,12,5,116,15.03.2026,Männer-WG,1910,5,2.0,93051,nein,40,28.0,Kumpfmühl,28.0 m2,D,1.0,Privat,Pellet,Einbauküche,5,ja,140,INS-2026-78011,136
"275,00 EUR",True,1. OG,teilmöbliert,13,2,31,06.02.2026,Frauen-WG,1995,7,2.5,93049,ja,63,14.9,Westenviertel,15 m²,F,6.2,Privat,Öl,Einbauküche,24,nein,187,INS-2026-39800,113
"485,00 EUR",False,2. OG,möbliert,11,1,58,31.03.2026,gemischt,1968,6,3.0,93051,nein,78,31.3,Königswiesen,"31,3 qm",D,6.8,Privat,Zentralheizung,Einbauküche,27,ja,36,INS-2026-57784,60
kalt 213€,False,1. OG,unmöbliert,19,1,92,19.01.2026,Studenten-WG,1934,6,2.0,93053,ja,13,11.0,Galgenberg,11 m²,E,3.8,Makler,Pellet,Einbauküche,14,ja,57,INS-2026-46829,109
365 €,False,EG,unmöbliert,9,7,100,19.02.2026,gemischt,1926,10,3.0,93055,nein,23,25.4,Ostenviertel,25.4 m2,C,4.1,Privat,Zentralheizung,keine,16,nein,42,INS-2026-77344,131
"377,00 EUR",True,DG,unmöbliert,21,1,21,08.01.2026,gemischt,2005,10,1.0,93051,nein,42,21.9,Königswiesen,22 m²,E,5.2,Genossenschaft,Fernwärme,Pantry,21,ja,14,INS-2026-11437,86
593 warm,True,1. OG,unmöbliert,18,3,126,29.03.2026,Berufstätigen-WG,1900,7,1.0,93053,nein,55,20.7,Kasernenviertel,"20,7 qm",B,6.4,Privat,Öl,Einbauküche,26,nein,247,INS-2026-94212,59
315,False,1. OG,teilmöbliert,9,5,67,23.03.2026,gemischt,1959,4,2.5,93047,nein,57,16.0,Innenstadt,16 m²,E,6.6,Privat,Zentralheizung,Pantry,27,nein,15,INS-2026-20968,167
295,False,DG,unmöbliert,11,4,78,25.06.2026,Frauen-WG,1948,1,2.5,93051,nein,11,19.4,Kumpfmühl,"19,4 qm",B,7.4,Makler,Pellet,Einbauküche,30,nein,217,INS-2026-30450,123
520 kalt,True,EG,unmöbliert,22,3,8,13.05.2026,Frauen-WG,2018,6,2.0,93055,ja,37,25.9,Ostenviertel,"25,9 qm",H,1.4,Genossenschaft,Fernwärme,Einbauküche,6,ja,279,INS-2026-52471,190
411 €,True,3. OG,möbliert,19,2,20,14.03.2026,gemischt,2006,1,1.0,93053,nein,5,17.4,Galgenberg,17.4 m2,D,4.3,Privat,Öl,Einbauküche,17,nein,187,INS-2026-93111,127
"327,00 EUR",False,3. OG,unmöbliert,24,5,101,10.02.2026,Männer-WG,1925,6,1.0,93049,nein,24,18.3,Westenviertel,18 m²,E,11.0,Makler,Zentralheizung,Pantry,44,nein,44,INS-2026-92837,102
"619,00 EUR",True,1. OG,unmöbliert,20,5,23,23.04.2026,gemischt,2003,2,1.0,93051,ja,9,27.9,Kumpfmühl,28 m²,D,4.3,Privat,Pellet,Pantry,18,nein,287,INS-2026-53453,123
"362,00 EUR",False,2. OG,unmöbliert,5,7,121,26.03.2026,Studenten-WG,1905,7,3.0,93053,ja,69,19.3,Kasernenviertel,19 m²,F,4.2,Privat,Nachtspeicher,Einbauküche,17,ja,48,INS-2026-13274,147
